x,y,Mean,Std,,,,
93.5,24.75,187.9389889,169.0576128,,,,
93.75,24.75,168.190583,152.5808127,,287.4452946,,
94,24.75,161.1812711,145.1445988,,62.17666777,,
93,25,233.3688264,217.0864919,,"[62,290]","[min, first quartile)","[First quartile, median)"
93.25,25,199.2863439,178.2106835,,,,"[median, third quartile)"
93.5,25,185.8537713,167.3352459,,,,"[third quartile, max]"
93.75,25,172.4211987,157.8345435,,,,
94,25,165.4140246,150.5532759,,,287.348829,
94.25,25,158.4068505,143.8898792,,,62.49649829,
94.5,25,156.0464158,139.7079678,,,,
92.75,25.25,266.5605842,261.6544621,,,,
93,25.25,228.7229387,215.5965943,,,,
93.25,25.25,190.8852931,170.4348688,,,,
93.5,25.25,183.7685538,166.1259962,,,,
93.75,25.25,176.6518145,163.6847993,,,,
94,25.25,169.6467782,156.431672,,,,
94.25,25.25,162.6417419,149.6967375,,,,
94.5,25.25,159.3277926,145.5852528,,,,
92.5,25.5,285.7537005,284.9169529,,,,
92.75,25.5,245.2011999,235.7598412,,,,
93,25.5,218.2493697,203.0597917,,,,
93.25,25.5,191.2975395,170.8107965,,,,
93.5,25.5,183.2165248,164.0500254,,,,
93.75,25.5,175.1355102,158.0604346,,,,
94,25.5,169.4493507,153.9826601,,,,
94.25,25.5,163.7631913,150.6233374,,,,
94.5,25.5,159.9204557,146.280167,,,,
94.75,25.5,156.0777202,142.2820795,,,,
89.75,25.75,206.1539167,213.2299423,,,,
90,25.75,221.0819606,225.7959242,,,,
92.25,25.75,287.4452946,287.348829,,,,
92.5,25.75,255.6435551,248.8172089,,,,
92.75,25.75,223.8418156,210.7470755,,,,
93,25.75,207.7758008,191.3276786,,,,
93.25,25.75,191.7097859,172.1221696,,,,
93.5,25.75,182.6644958,162.4870582,,,,
93.75,25.75,173.6192058,153.11878,,,,
94,25.75,169.2519232,151.9960713,,,,
94.25,25.75,164.8846407,151.9585449,,,,
94.5,25.75,160.5131188,147.3176636,,,,
94.75,25.75,156.1415969,143.0442297,,,,
95,25.75,154.4412708,140.7898684,,,,
89.25,26,207.9139892,224.3380249,,,,
89.5,26,210.9229385,223.1066838,,,,
89.75,26,213.9318878,222.9353154,,,,
90,26,220.6438265,226.3754051,,,,
