Long,Lat
93.5,24.75
93.75,24.75
94,24.75
93,25
93.25,25
93.5,25
93.75,25
94,25
94.25,25
94.5,25
92.75,25.25
93,25.25
93.25,25.25
93.5,25.25
93.75,25.25
94,25.25
94.25,25.25
94.5,25.25
92.5,25.5
92.75,25.5
93,25.5
93.25,25.5
93.5,25.5
93.75,25.5
94,25.5
94.25,25.5
94.5,25.5
94.75,25.5
89.75,25.75
90,25.75
92.25,25.75
92.5,25.75
92.75,25.75
93,25.75
93.25,25.75
93.5,25.75
93.75,25.75
94,25.75
94.25,25.75
94.5,25.75
94.75,25.75
95,25.75
89.25,26
89.5,26
89.75,26
90,26
90.25,26
90.5,26
90.75,26
91,26
91.25,26
91.5,26
91.75,26
92,26
92.25,26
92.5,26
92.75,26
93,26
93.25,26
93.5,26
93.75,26
94,26
94.25,26
94.5,26
94.75,26
95,26
89,26.25
89.25,26.25
89.5,26.25
89.75,26.25
90,26.25
90.25,26.25
90.5,26.25
90.75,26.25
91,26.25
91.25,26.25
91.5,26.25
91.75,26.25
92,26.25
92.25,26.25
92.5,26.25
92.75,26.25
93,26.25
93.25,26.25
93.5,26.25
93.75,26.25
94,26.25
94.25,26.25
94.5,26.25
94.75,26.25
95,26.25
88.75,26.5
89,26.5
89.25,26.5
89.5,26.5
89.75,26.5
90,26.5
90.25,26.5
90.5,26.5
90.75,26.5
91,26.5
91.25,26.5
91.5,26.5
91.75,26.5
92,26.5
92.25,26.5
92.5,26.5
92.75,26.5
93,26.5
93.25,26.5
93.5,26.5
93.75,26.5
94,26.5
94.25,26.5
94.5,26.5
94.75,26.5
95,26.5
95.25,26.5
88.25,26.75
88.5,26.75
88.75,26.75
89,26.75
89.25,26.75
89.5,26.75
89.75,26.75
90,26.75
90.25,26.75
90.5,26.75
90.75,26.75
91,26.75
91.25,26.75
91.5,26.75
91.75,26.75
92,26.75
92.25,26.75
92.5,26.75
92.75,26.75
93,26.75
93.25,26.75
93.5,26.75
93.75,26.75
94,26.75
94.25,26.75
94.5,26.75
94.75,26.75
95,26.75
95.25,26.75
95.5,26.75
88,27
88.25,27
88.5,27
88.75,27
89,27
92,27
92.25,27
92.5,27
92.75,27
93,27
93.25,27
93.5,27
93.75,27
94,27
94.25,27
94.5,27
94.75,27
95,27
95.25,27
95.5,27
95.75,27
96,27
88,27.25
88.25,27.25
88.5,27.25
88.75,27.25
92,27.25
92.25,27.25
92.5,27.25
92.75,27.25
93,27.25
93.25,27.25
93.5,27.25
93.75,27.25
94,27.25
94.25,27.25
94.5,27.25
94.75,27.25
95,27.25
95.25,27.25
95.5,27.25
95.75,27.25
96,27.25
96.25,27.25
96.5,27.25
96.75,27.25
97,27.25
88,27.5
88.25,27.5
88.5,27.5
88.75,27.5
91.75,27.5
92,27.5
92.25,27.5
92.5,27.5
92.75,27.5
93,27.5
93.25,27.5
93.5,27.5
93.75,27.5
94,27.5
94.25,27.5
94.5,27.5
94.75,27.5
95,27.5
95.25,27.5
95.5,27.5
95.75,27.5
96,27.5
96.25,27.5
96.5,27.5
96.75,27.5
97,27.5
88.25,27.75
88.5,27.75
88.75,27.75
91.75,27.75
92,27.75
92.25,27.75
92.5,27.75
92.75,27.75
93,27.75
93.25,27.75
93.5,27.75
93.75,27.75
94,27.75
94.25,27.75
94.5,27.75
94.75,27.75
95,27.75
95.25,27.75
95.5,27.75
95.75,27.75
96,27.75
96.25,27.75
96.5,27.75
96.75,27.75
97,27.75
97.25,27.75
88.25,28
88.5,28
88.75,28
92.75,28
93,28
93.25,28
93.5,28
93.75,28
94,28
94.25,28
94.5,28
94.75,28
95,28
95.25,28
95.5,28
95.75,28
96,28
96.25,28
96.5,28
96.75,28
97,28
97.25,28
92.75,28.25
93,28.25
93.25,28.25
93.5,28.25
93.75,28.25
94,28.25
94.25,28.25
94.5,28.25
94.75,28.25
95,28.25
95.25,28.25
95.5,28.25
95.75,28.25
96,28.25
96.25,28.25
96.5,28.25
96.75,28.25
97,28.25
97.25,28.25
93.25,28.5
93.5,28.5
93.75,28.5
94,28.5
94.25,28.5
94.5,28.5
94.75,28.5
95,28.5
95.25,28.5
95.5,28.5
95.75,28.5
96,28.5
96.25,28.5
96.5,28.5
96.75,28.5
93.75,28.75
94,28.75
94.25,28.75
94.5,28.75
94.75,28.75
95,28.75
95.25,28.75
95.5,28.75
95.75,28.75
96,28.75
96.25,28.75
96.5,28.75
94.25,29
94.5,29
94.75,29
95,29
95.25,29
95.5,29
95.75,29
96,29
96.25,29
96.5,29
94.5,29.25
94.75,29.25
95,29.25
95.25,29.25
95.5,29.25
95.75,29.25
96,29.25
96.25,29.25
96.5,29.25
96,29.5
