x,y
76.5,8.5
77.5,8.5
78.5,8.5
76.5,9.5
77.5,9.5
78.5,9.5
79.5,9.5
76.5,10.5
77.5,10.5
78.5,10.5
79.5,10.5
75.5,11.5
76.5,11.5
77.5,11.5
78.5,11.5
79.5,11.5
75.5,12.5
76.5,12.5
77.5,12.5
78.5,12.5
79.5,12.5
80.5,12.5
74.5,13.5
75.5,13.5
76.5,13.5
77.5,13.5
78.5,13.5
79.5,13.5
80.5,13.5
74.5,14.5
75.5,14.5
76.5,14.5
77.5,14.5
78.5,14.5
79.5,14.5
80.5,14.5
73.5,15.5
74.5,15.5
75.5,15.5
76.5,15.5
77.5,15.5
78.5,15.5
79.5,15.5
80.5,15.5
73.5,16.5
74.5,16.5
75.5,16.5
76.5,16.5
77.5,16.5
78.5,16.5
79.5,16.5
80.5,16.5
81.5,16.5
82.5,16.5
73.5,17.5
74.5,17.5
75.5,17.5
76.5,17.5
77.5,17.5
78.5,17.5
79.5,17.5
80.5,17.5
81.5,17.5
82.5,17.5
72.5,18.5
73.5,18.5
74.5,18.5
75.5,18.5
76.5,18.5
77.5,18.5
78.5,18.5
79.5,18.5
80.5,18.5
81.5,18.5
82.5,18.5
83.5,18.5
84.5,18.5
72.5,19.5
73.5,19.5
74.5,19.5
75.5,19.5
76.5,19.5
77.5,19.5
78.5,19.5
79.5,19.5
80.5,19.5
81.5,19.5
82.5,19.5
83.5,19.5
84.5,19.5
85.5,19.5
70.5,20.5
71.5,20.5
72.5,20.5
73.5,20.5
74.5,20.5
75.5,20.5
76.5,20.5
77.5,20.5
78.5,20.5
79.5,20.5
80.5,20.5
81.5,20.5
82.5,20.5
83.5,20.5
84.5,20.5
85.5,20.5
86.5,20.5
69.5,21.5
70.5,21.5
71.5,21.5
72.5,21.5
73.5,21.5
74.5,21.5
75.5,21.5
76.5,21.5
77.5,21.5
78.5,21.5
79.5,21.5
80.5,21.5
81.5,21.5
82.5,21.5
83.5,21.5
84.5,21.5
85.5,21.5
86.5,21.5
87.5,21.5
